,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.0,0.0,0.0,0.2,0.0,0.0,0.0
french,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finnish,0.25,0.3333333333333333,0.0,0.5,0.5,0.4,0.6666666666666666
german,0.0,0.4,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0
icelandic,0.16666666666666666,0.5,0.5,0.5,0.5,1.0,0.5
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2
swahili,0.0,0.3333333333333333,0.5,0.4,0.6666666666666666,0.4,1.0
turkish,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5
