,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.0,0.0,0.0,0.0,0.0,0.75,0.5
french,0.0,0.0,0.0,0.0,0.5,0.75,0.5
finnish,0.6666666666666666,0.0,0.0,1.0,0.6666666666666666,0.6,0.75
german,0.5,1.0,1.0,1.0,1.0,1.0,0.5
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.5,0.5,0.0,0.5,1.0,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.0,0.0,0.5,0.25,0.5,1.0,0.5
swahili,0.6666666666666666,0.75,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
turkish,0.6666666666666666,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666
