,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.5,0.3333333333333333,0.5,0.0,0.25,1.0,0.0
french,1.0,1.0,0.6,0.75,0.6666666666666666,0.0,0.0
finnish,0.8,0.8,1.0,1.0,1.0,1.0,1.0
german,0.875,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,1.0,1.0,1.0,1.0,0.5,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.8,0.5,0.25,0.6666666666666666,0.5,1.0,0.0
swahili,1.0,0.75,0.7142857142857143,0.0,1.0,0.6666666666666666,1.0
turkish,0.8,1.0,1.0,0.6666666666666666,1.0,0.75,1.0
