,1gram,2gram,3gram,sk2gram,sk3gram,xsk2gram,xsk3gram
arabic,1.0,1.0,1.0,1.0,1.0,1.0,1.0
english,0.0,0.0,0.0,0.0,0.0,0.2,0.0
french,0.3333333333333333,0.0,0.0,0.0,0.0,0.25,0.0
finnish,0.2,0.14285714285714285,0.3333333333333333,0.5,0.3333333333333333,0.25,0.25
german,0.3333333333333333,0.4,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0
greek,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hebrew,1.0,1.0,1.0,1.0,1.0,1.0,1.0
icelandic,0.25,0.6666666666666666,0.5,0.25,1.0,1.0,1.0
russian,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spanish,0.0,0.2,0.25,0.5,1.0,0.5,0.5
swahili,0.3333333333333333,0.5,0.5,0.16666666666666666,0.2,0.8333333333333334,0.5
turkish,0.75,0.4,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5
